 ,Area,Mean,Min,Max
1,0.905,2641.522,983,5085
2,0.939,2979.287,1308,6141
3,0.755,2788.264,842,4777
4,0.502,3839.956,1126,8278
5,0.958,2505.136,926,4317
6,1.185,2227.241,568,4456
7,0.804,2185.590,1002,3993
8,0.682,2798.240,1094,4840
9,1.290,3054.525,844,6037
10,0.911,3311.702,920,7315
11,1.162,2793.855,865,7195
12,0.607,2495.431,1312,4463
13,0.579,3254.905,1425,5569
14,1.131,4197.631,1846,6810
15,0.817,3356.083,1373,6283
16,0.965,3374.840,1092,7397
17,0.808,3719.998,828,9950
18,0.816,2653.778,595,4845
