 ,Area,Mean,Min,Max
1,1.611,884.903,277,2261
2,1.940,657.617,236,1540
3,1.288,910.875,333,2133
4,1.429,834.166,268,2165
5,1.518,2679.273,1219,5441
6,1.514,3934.945,981,8585
7,0.932,3548.573,1029,6956
8,0.814,3137.085,1221,6408
9,0.552,3162.661,1228,6449
10,1.139,2934.402,1142,6501
11,0.374,2191.206,1223,3418
12,0.550,1660.995,776,2689
13,1.720,2820.649,843,6439
14,1.736,3543.548,1095,5586
15,0.934,1845.940,556,3445
16,0.903,1659.487,525,2838
17,3.811,2526.137,570,6382
18,2.495,2025.345,390,6635
