 ,Area,Mean,Min,Max
1,0.480,2685.673,1481,4158
2,1.129,3714.953,469,8219
3,0.479,3416.127,897,5598
4,1.615,2888.938,855,6095
5,0.766,3433.231,474,6726
6,1.418,2471.224,679,5779
7,1.054,2201.254,499,5191
8,0.679,1975.935,734,3619
9,0.933,2251.263,557,4918
10,2.010,2471.160,300,6978
11,1.503,2289.112,471,5215
12,0.440,2049.705,647,3959
13,2.508,3008.434,600,6202
14,1.452,2957.045,525,7250
15,0.404,2785.198,850,4746
16,0.774,1687.338,769,2893
17,0.713,2312.805,1064,4429
18,0.844,2346.331,702,4747
19,1.157,1642.921,362,3108
