 ,Area,Mean,Min,Max
1,1.555,2261.475,617,4669
2,1.486,2596.037,586,5860
3,1.141,2692.333,660,6445
4,1.281,3094.183,671,6459
5,1.381,2688.236,571,7240
6,0.428,3099.244,1219,5070
7,0.539,3686.822,1273,7727
8,0.480,3282.047,901,6452
9,0.548,4859.830,1365,11247
10,2.239,3489.879,573,13516
11,1.533,1637.145,506,3050
12,1.978,2880.503,727,6872
13,1.163,3455.170,736,7825
14,1.600,2969.732,689,6787
15,2.134,3677.293,586,8890
16,0.687,2657.531,486,7927
17,0.891,3912.358,1516,6606
18,1.182,3798.238,1056,6897
19,1.422,3161.070,550,6021
